date,sales,units_sold,region,channel,marketing_spend
2025-03-01,1244.97,122,West,Retail,239.97
2025-03-02,1044.29,125,North,Online,337.42
2025-03-03,980.03,90,North,Online,525.71
2025-03-04,965.19,95,East,Online,458.92
2025-03-05,1080.19,110,South,Online,399.69
2025-03-06,1300.12,112,West,Retail,638.33
2025-03-07,1358.5,148,East,Online,616.23
2025-03-08,1208.15,120,North,Online,300.04
2025-03-09,1133.98,105,South,Online,727.18
2025-03-10,1022.95,91,East,Retail,497.25
2025-03-11,1003.8,102,South,Online,644.88
2025-03-12,1173.63,103,East,Online,543.89
2025-03-13,1351.95,122,South,Retail,798.62
2025-03-14,1304.45,158,North,Retail,651.44
2025-03-15,1305.54,160,West,Online,624.19
2025-03-16,968.37,92,North,Online,667.14
2025-03-17,1061.52,113,West,Online,285.88
2025-03-18,1055.97,120,South,Online,322.73
2025-03-19,1156.16,112,East,Online,628.44
2025-03-20,1295.2,138,North,Online,496.39
2025-03-21,1222.42,120,West,Online,652.78
2025-03-22,1231.88,125,North,Online,261.75
2025-03-23,1132.77,110,West,Retail,521.89
2025-03-24,1109.88,116,North,Retail,427.29
2025-03-25,1041.26,96,West,Online,474.2
2025-03-26,1146.24,131,West,Retail,562.37
2025-03-27,1281.08,119,South,Retail,501.37
2025-03-28,1383.12,143,West,Online,523.92
2025-03-29,1274.85,111,South,Online,491.81
2025-03-30,1103.98,110,West,Online,445.37
2025-03-31,1077.2,91,East,Online,663.13
2025-04-01,1087.58,104,East,Retail,207.32
2025-04-02,1250.65,141,East,Online,559.07
2025-04-03,1286.62,114,West,Online,539.31
2025-04-04,1336.52,142,South,Retail,629.71
2025-04-05,1254.37,134,South,Retail,559.42
2025-04-06,1072.85,132,West,Online,696.08
2025-04-07,1081.9,106,East,Retail,775.44
2025-04-08,1111.33,110,East,Retail,405.51
2025-04-09,1218.03,129,South,Retail,336.41
2025-04-10,1325.55,114,East,Online,454.16
2025-04-11,1297.69,152,North,Retail,372.76
2025-04-12,1268.49,136,South,Online,568.97
2025-04-13,1144.45,123,East,Retail,747.11
2025-04-14,1042.54,125,South,Retail,283.47
2025-04-15,1105.77,111,North,Retail,260.48
2025-04-16,1253.54,117,South,Retail,353.61
2025-04-17,1447.14,144,South,Retail,635.66
2025-04-18,1392.75,161,South,Retail,555.78
2025-04-19,1317.96,139,South,Online,261.33
2025-04-20,1173.42,146,North,Online,751.25
2025-04-21,1002.27,87,West,Online,674.05
2025-04-22,1128.07,135,South,Retail,213.81
2025-04-23,1251.9,121,South,Online,590.82
2025-04-24,1491.55,125,East,Online,662.75
2025-04-25,1389.95,137,South,Online,424.66
2025-04-26,1335.72,114,East,Online,241.35
2025-04-27,1190.96,133,West,Retail,246.39
2025-04-28,1055.33,96,North,Retail,262.55
2025-04-29,1202.09,119,North,Online,704.26
2025-04-30,1302.04,120,West,Retail,746.41
2025-05-01,1423.49,173,North,Online,273.69
2025-05-02,1369.66,159,West,Online,341.54
2025-05-03,1406.33,165,West,Retail,299.31
2025-05-04,1138.16,106,West,Online,311.79
2025-05-05,1158.66,102,North,Online,702.49
2025-05-06,1270.03,115,East,Retail,399.29
2025-05-07,1230.47,152,West,Online,386.87
2025-05-08,1371.18,120,South,Online,336.44
2025-05-09,1435.67,152,North,Online,564.74
2025-05-10,1326.58,138,West,Online,427.58
2025-05-11,1146.27,136,West,Online,646.55
2025-05-12,1148.3,105,South,Online,323.35
2025-05-13,1122.94,129,East,Retail,672.67
2025-05-14,1319.24,129,East,Retail,562.23
2025-05-15,1369.08,120,East,Retail,268.56
2025-05-16,1523.74,182,West,Retail,448.7
2025-05-17,1328.14,131,West,Retail,718.11
2025-05-18,1223.26,137,West,Online,753.78
2025-05-19,1201.1,128,North,Online,479.42
2025-05-20,1130.07,114,South,Online,488.5
2025-05-21,1322.48,140,West,Online,751.07
2025-05-22,1495.97,141,South,Online,552.24
2025-05-23,1381.42,139,South,Online,219.71
2025-05-24,1392.09,135,East,Retail,747.65
2025-05-25,1267.91,116,North,Retail,348.94
2025-05-26,1215.07,119,West,Online,546.58
2025-05-27,1145.32,111,East,Online,299.31
2025-05-28,1260.64,123,East,Online,220.33
2025-05-29,1472.26,155,West,Retail,386.88
2025-05-30,1492.2,160,South,Retail,668.3
2025-05-31,1110.94,96,East,Online,366.55
2025-06-01,987.8,95,South,Retail,332.06
2025-06-02,857.54,96,North,Online,327.61
2025-06-03,934.34,93,South,Online,509.1
2025-06-04,1056.88,113,North,Online,785.32
2025-06-05,1126.0,96,South,Online,475.39
2025-06-06,1286.19,160,East,Retail,534.38
2025-06-07,1137.66,128,East,Retail,716.38
2025-06-08,926.46,98,North,Online,521.04
2025-06-09,939.92,94,West,Retail,310.68
2025-06-10,889.55,78,North,Retail,379.76
2025-06-11,1097.13,131,North,Retail,385.96
2025-06-12,1235.2,110,South,Online,438.39
2025-06-13,1167.43,142,South,Online,456.07
2025-06-14,1177.7,104,North,Online,679.87
2025-06-15,1022.22,125,East,Online,409.63
2025-06-16,963.75,119,South,Online,480.94
2025-06-17,1048.68,97,West,Retail,574.99
2025-06-18,1061.06,89,South,Online,426.64
2025-06-19,1155.14,100,South,Online,701.94
2025-06-20,1179.54,114,West,Online,552.47
2025-06-21,1104.29,95,North,Online,376.43
2025-06-22,1013.28,126,West,Online,628.44
2025-06-23,955.26,80,North,Online,516.59
2025-06-24,983.23,99,North,Online,520.67
2025-06-25,1130.25,104,North,Online,488.65
2025-06-26,1209.04,107,West,Online,498.21
2025-06-27,1312.25,121,North,Retail,659.21
2025-06-28,1147.41,113,East,Online,261.79
2025-06-29,1168.7,118,West,Online,400.62
2025-06-30,985.04,87,East,Online,245.3
